Date,Open,High,Low,Close,Volume
12/12/80,0.128348,0.128906,0.128348,0.128348,469033600
12/15/80,0.12221,0.12221,0.121652,0.121652,175884800
12/16/80,0.113281,0.113281,0.112723,0.112723,105728000
12/17/80,0.115513,0.116071,0.115513,0.115513,86441600
12/18/80,0.118862,0.11942,0.118862,0.118862,73449600
12/19/80,0.126116,0.126674,0.126116,0.126116,48630400
12/22/80,0.132254,0.132813,0.132254,0.132254,37363200
12/23/80,0.137835,0.138393,0.137835,0.137835,46950400
12/24/80,0.145089,0.145647,0.145089,0.145089,48003200
12/26/80,0.158482,0.15904,0.158482,0.158482,55574400
12/29/80,0.160714,0.161272,0.160714,0.160714,93161600
12/30/80,0.157366,0.157366,0.156808,0.156808,68880000
12/31/80,0.152902,0.152902,0.152344,0.152344,35750400
1/2/81,0.154018,0.155134,0.154018,0.154018,21660800
1/5/81,0.151228,0.151228,0.15067,0.15067,35728000
1/6/81,0.144531,0.144531,0.143973,0.143973,45158400
1/7/81,0.138393,0.138393,0.137835,0.137835,55686400
1/8/81,0.135603,0.135603,0.135045,0.135045,39827200
1/9/81,0.142299,0.142857,0.142299,0.142299,21504000
1/12/81,0.142299,0.142299,0.141183,0.141183,23699200
1/13/81,0.136719,0.136719,0.136161,0.136161,23049600
1/14/81,0.136719,0.137277,0.136719,0.136719,14291200
1/15/81,0.139509,0.140625,0.139509,0.139509,14067200
1/16/81,0.138951,0.138951,0.138393,0.138393,13395200
1/19/81,0.146763,0.147321,0.146763,0.146763,41574400
1/20/81,0.142857,0.142857,0.142299,0.142299,30083200
1/21/81,0.145089,0.146205,0.145089,0.145089,15904000
1/22/81,0.146763,0.147879,0.146763,0.146763,35548800
1/23/81,0.146763,0.147321,0.146205,0.146205,11222400
1/26/81,0.144531,0.144531,0.143973,0.143973,24640000
1/27/81,0.143973,0.143973,0.142857,0.142857,23699200
1/28/81,0.138951,0.138951,0.138393,0.138393,28156800
1/29/81,0.133929,0.133929,0.133371,0.133371,43904000
1/30/81,0.127232,0.127232,0.126116,0.126116,46188800
2/2/81,0.11942,0.11942,0.118862,0.118862,23766400
2/3/81,0.123326,0.123884,0.123326,0.123326,19152000
2/4/81,0.12779,0.128348,0.12779,0.12779,27865600
2/5/81,0.12779,0.128906,0.12779,0.12779,7929600
2/6/81,0.128348,0.128906,0.128348,0.128348,13865600
2/9/81,0.122768,0.122768,0.121652,0.121652,16755200
2/10/81,0.121652,0.12221,0.121652,0.121652,18345600
2/11/81,0.118304,0.118304,0.117746,0.117746,13843200
2/12/81,0.117188,0.117188,0.116629,0.116629,14560000
2/13/81,0.114955,0.114955,0.113839,0.113839,11155200
2/17/81,0.116629,0.117188,0.116629,0.116629,12275200
2/18/81,0.121652,0.122768,0.121652,0.121652,19241600
2/19/81,0.114955,0.114955,0.114397,0.114397,22310400
2/20/81,0.108817,0.108817,0.108259,0.108259,24371200
2/23/81,0.109933,0.110491,0.109933,0.109933,14112000
2/24/81,0.107143,0.107143,0.106027,0.106027,16979200
2/25/81,0.112723,0.113281,0.112723,0.112723,19488000
