State,City,Year,Population,Violent crime,Murder,Rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson
ALABAMA,BIRMINGHAM,2017,,1829,42,92,472,1223,6458,1292,4350,816,87
ALABAMA,MOBILE,2017,,925,20,53,235,617,6482,1507,4344,631,51
ALABAMA,MONTGOMERY,2017,,656,19,35,185,417,4246,1031,2797,418,41
ALASKA,ANCHORAGE,2017,,1707,13,196,369,1129,7708,1089,5180,1439,31
ARIZONA,CHANDLER,2017,,303,1,67,72,163,2906,401,2298,207,10
ARIZONA,GLENDALE,2017,,598,7,36,247,308,5654,848,4198,608,18
ARIZONA,MESA,2017,,1000,11,127,221,641,5472,962,4069,441,9
ARIZONA,SCOTTSDALE,2017,,193,2,47,55,89,2684,437,2115,132,9
ARIZONA,SURPRISE,2017,,57,1,5,21,30,1300,124,1100,76,2
ARIZONA,TEMPE,2017,,463,3,74,120,266,3812,502,3083,227,12
ARKANSAS,LITTLE ROCK,2017,,1737,28,92,257,1360,6891,1252,5038,601,29
CALIFORNIA,ANAHEIM,2017,,601,6,63,218,314,4629,652,3190,787,16
CALIFORNIA,ANTIOCH,2017,,306,4,22,127,153,1873,301,1037,535,30
CALIFORNIA,BAKERSFIELD,2017,,929,22,48,365,494,7570,1643,4621,1306,127
CALIFORNIA,BERKELEY,2017,,322,1,39,180,102,2813,382,2140,291,6
CALIFORNIA,BURBANK,2017,,113,0,7,40,66,1483,158,1187,138,11
CALIFORNIA,CARLSBAD,2017,,106,0,16,17,73,1014,204,745,65,7
CALIFORNIA,CHULA VISTA,2017,,370,0,29,135,206,1884,310,1232,342,13
CALIFORNIA,CLOVIS,2017,,144,0,23,36,85,1516,245,1177,94,3
CALIFORNIA,CONCORD,2017,,221,2,21,85,113,2130,203,1499,428,14
CALIFORNIA,CORONA,2017,,108,0,23,43,42,1807,308,1213,286,9
CALIFORNIA,COSTA MESA,2017,,167,2,27,69,69,2321,342,1681,298,5
CALIFORNIA,DALY CITY,2017,,144,0,30,58,56,829,104,629,96,4
CALIFORNIA,DOWNEY,2017,,183,1,13,84,85,1651,272,962,417,2
CALIFORNIA,EL CAJON,2017,,189,0,24,62,103,1207,231,757,219,6
CALIFORNIA,ELK GROVE,2017,,273,0,18,47,208,1179,208,862,109,0
CALIFORNIA,EL MONTE,2017,,239,4,23,95,117,1396,361,677,358,4
CALIFORNIA,ESCONDIDO,2017,,252,3,21,68,160,1269,215,877,177,9
CALIFORNIA,FAIRFIELD,2017,,283,5,18,99,161,1433,230,975,228,11
CALIFORNIA,FONTANA,2017,,321,4,33,81,203,1840,295,1089,456,6
CALIFORNIA,FREMONT,2017,,202,0,30,88,84,2729,350,1870,509,8
CALIFORNIA,FRESNO,2017,,1513,33,90,502,888,10256,1860,6908,1488,112
CALIFORNIA,FULLERTON,2017,,133,0,31,41,61,1984,154,1620,210,20
CALIFORNIA,GARDEN GROVE,2017,,304,2,6,112,184,2209,427,1458,324,11
