State,Population,Violent crime,Murder,Rape,Robbery,Aggravated assault,Property crime,Burglary,Larceny-theft,Motor vehicle theft,Arson
ALABAMA,212549,1732,44,75,460,1153,5875,1318,3807,750,76
ALABAMA,249921,793,18,47,181,547,5169,1100,3724,345,45
ALABAMA,199565,563,18,42,187,316,4229,1043,2790,396,35
ALASKA,299097,1692,9,302,326,1055,6853,1031,4901,921,38
ARIZONA,265922,272,1,61,69,141,2987,453,2373,161,8
ARIZONA,242938,591,16,57,227,291,6683,975,5136,572,21
ARIZONA,478277,1069,12,146,210,701,5517,1010,4090,417,21
ARIZONA,240885,197,2,55,59,81,2904,356,2436,112,8
ARIZONA,130679,65,3,6,23,33,1146,162,908,76,2
ARIZONA,178654,437,3,73,108,253,4050,599,3234,217,20
ARKANSAS,198800,1421,16,82,305,1018,6597,1102,4952,543,27
CALIFORNIA,353504,620,4,70,183,363,5151,759,3677,715,17
CALIFORNIA,112090,396,7,25,165,199,1756,367,883,506,27
CALIFORNIA,378788,923,23,31,289,580,8264,1932,4898,1434,151
CALIFORNIA,122651,262,0,27,151,84,2637,437,1888,312,20
CALIFORNIA,105720,104,0,11,23,70,1358,202,1038,118,8
CALIFORNIA,115040,89,0,18,25,46,1137,192,863,82,4
CALIFORNIA,270175,313,0,25,90,198,2125,332,1391,402,17
CALIFORNIA,105865,131,2,18,35,76,1506,215,1178,113,3
CALIFORNIA,129903,221,1,14,75,131,2116,227,1374,515,8
CALIFORNIA,166534,95,1,24,45,25,1866,384,1133,349,11
CALIFORNIA,113816,203,0,28,72,103,2516,415,1769,332,19
CALIFORNIA,107640,131,0,11,47,73,783,129,567,87,5
CALIFORNIA,114704,189,1,6,93,89,1605,237,977,391,5
CALIFORNIA,104483,202,1,29,67,105,1273,210,836,227,6
CALIFORNIA,117354,226,0,17,92,117,1191,338,539,314,17
CALIFORNIA,169742,278,0,32,45,201,1269,210,934,125,1
CALIFORNIA,152897,257,3,19,73,162,1665,221,1124,320,7
CALIFORNIA,114521,275,2,29,78,166,1389,217,907,265,8
CALIFORNIA,209531,447,5,40,113,289,2224,341,1318,565,7
CALIFORNIA,235881,204,0,33,97,74,2239,454,1455,330,6
CALIFORNIA,524796,1613,18,81,552,962,10334,1726,6762,1846,126
CALIFORNIA,141968,152,1,23,45,83,1689,238,1264,187,6
CALIFORNIA,176230,248,1,13,80,154,2187,448,1387,352,4
CALIFORNIA,202903,114,1,17,45,51,1795,313,1309,173,4
CALIFORNIA,161122,298,3,34,174,87,2266,364,1227,675,6
CALIFORNIA,204071,170,0,24,32,114,2167,317,1644,206,7
CALIFORNIA,112059,400,7,27,205,161,1219,236,613,370,14
CALIFORNIA,266663,79,2,22,25,30,1972,313,1577,82,4
CALIFORNIA,101316,149,5,13,34,97,1430,225,714,491,2
CALIFORNIA,161963,550,3,40,173,334,1761,517,931,313,35
CALIFORNIA,476476,1405,15,109,540,741,6900,1527,4009,1364,47
CALIFORNIA,4007905,14212,135,1176,4943,7958,48381,7779,31665,8937,639
CALIFORNIA,212880,1034,4,45,240,745,5010,763,3412,835,31
CALIFORNIA,206224,470,6,4,180,280,3052,433,2062,557,6
CALIFORNIA,111043,28,0,5,4,19,812,131,575,106,5
CALIFORNIA,107453,203,3,17,66,117,942,186,541,215,9
CALIFORNIA,424998,2952,28,128,1509,1287,11450,1440,6431,3579,91
CALIFORNIA,177340,307,1,27,76,203,2152,249,1659,244,7
CALIFORNIA,172606,298,6,15,102,175,2331,462,1383,486,15
CALIFORNIA,141841,104,0,13,27,64,1280,227,871,182,6
CALIFORNIA,209048,461,8,40,196,217,3293,510,2308,475,17
CALIFORNIA,159441,351,5,27,93,226,1264,289,779,196,17
CALIFORNIA,143288,241,1,21,78,141,1722,413,1145,164,38
CALIFORNIA,154109,334,3,34,133,164,2316,414,1333,569,12
CALIFORNIA,177089,120,0,18,39,63,2069,455,1379,235,3
CALIFORNIA,103893,254,2,9,84,159,946,301,290,355,1
CALIFORNIA,110868,477,10,40,170,257,1819,353,829,637,18
CALIFORNIA,325896,833,4,70,289,470,5443,934,3589,920,27
CALIFORNIA,132566,97,0,11,50,36,1625,205,1257,163,6
CALIFORNIA,495471,1733,13,42,536,1142,7875,1621,4740,1514,87
CALIFORNIA,158729,431,15,42,120,254,2738,340,1521,877,4
CALIFORNIA,217303,1412,32,51,448,881,4500,1188,2032,1280,23
CALIFORNIA,1413414,2645,24,297,723,1601,14865,2493,9412,2960,138
CALIFORNIA,871155,2987,25,163,1497,1302,22833,2435,17815,2583,130
CALIFORNIA,1041844,1919,25,220,583,1091,11463,2052,6152,3259,55
CALIFORNIA,104802,109,0,12,22,75,1019,389,533,97,0
CALIFORNIA,337419,868,13,77,267,511,3428,557,1923,948,21
CALIFORNIA,128179,88,2,11,32,43,1297,175,959,163,6
CALIFORNIA,219611,156,2,25,51,78,1476,325,963,188,5
CALIFORNIA,106200,269,6,20,97,146,1371,233,815,323,3
CALIFORNIA,176383,333,4,48,58,223,1714,298,1192,224,11
